  
 FoilSim II Application Version 1.5a - Feb 04 
  
just a test
  
----------------------------------------- 
 
 Joukowski Airfoil
 Ideal Flow Analysis - Kutta Condition
 Camber = 0.0 % chord ,
 Thickness = 12.5 % chord ,
 Chord = 5.0 ft ,
 Span = 20.0 ft ,
 Surface Area = 100.0 sq ft ,
 Angle of attack = 5.0 degrees ,
 Standard Earth Atmosphere
 Altitude = 0 ft ,
 Density = 0.00237slug/cu ft ,
 Pressure = 14.694lb/sq in,
 Temperature = 58F,
 Airspeed = 100 mph ,
  Lift = 1562 lbs 

 	 Upper Surface 	 	 	 Lower Surface
 X 	 Y 	 P 	 V 	 X 	 Y 	 P 	 V  
-0.511	0.044	14.724	92	-0.511	0.044	14.724	92
-0.503	0.062	14.453	154	-0.507	0.025	14.877	0
-0.483	0.078	14.385	166	-0.489	0.0070	14.821	56
-0.45	0.09	14.404	163	-0.459	-0.01	14.755	82
-0.406	0.098	14.44	156	-0.417	-0.026	14.713	96
-0.351	0.102	14.477	150	-0.364	-0.04	14.69	102
-0.287	0.101	14.513	143	-0.3	-0.05	14.679	105
-0.215	0.095	14.547	136	-0.228	-0.056	14.677	106
-0.136	0.084	14.578	129	-0.149	-0.06	14.68	105
-0.052	0.07	14.607	123	-0.064	-0.06	14.687	103
0.033	0.052	14.633	117	0.023	-0.057	14.696	101
0.12	0.033	14.657	111	0.112	-0.053	14.705	98
0.204	0.014	14.678	105	0.199	-0.049	14.714	95
0.283	-0.0030	14.695	101	0.28	-0.045	14.723	93
0.355	-0.019	14.71	97	0.353	-0.042	14.73	91
0.414	-0.03	14.722	93	0.413	-0.041	14.735	89
0.46	-0.038	14.73	90	0.459	-0.041	14.739	88
0.488	-0.042	14.736	89	0.488	-0.042	14.741	87
0.498	-0.043	14.877	0	0.498	-0.043	14.877	0
